Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_Time(1)(1);
1;1,78107690811157;-0,75;0,2685546875;
2;1,81210494041443;-0,740000009536743;0,4306640625;
3;1,84143888950348;-0,730000019073486;0,59375;
4;1,87121689319611;-0,720000028610229;0,7568359375;
5;1,90265834331512;-0,709999978542328;0,919921875;
6;1,93281400203705;-0,699999988079071;1,0830078125;
7;1,96352338790894;-0,689999997615814;1,2451171875;
8;1,99271786212921;-0,680000007152557;1,408203125;
9;2,02140855789185;-0,670000016689301;1,5712890625;
10;2,05014276504517;-0,660000026226044;1,734375;
11;2,0794084072113;-0,649999976158142;1,8974609375;
12;2,10755515098572;-0,639999985694885;2,2236328125;
13;2,13633584976196;-0,629999995231628;2,38671875;
14;2,16515016555786;-0,620000004768372;2,5498046875;
15;2,19332242012024;-0,610000014305115;2,712890625;
16;2,22125649452209;-0,600000023841858;2,875;
17;2,24940991401672;-0,589999973773956;3,0380859375;
18;2,27789950370789;-0,579999983310699;3,201171875;
19;2,30610966682434;-0,569999992847443;3,3642578125;
20;2,33443570137024;-0,560000002384186;3,52734375;
21;2,36275577545166;-0,550000011920929;3,689453125;
22;2,39074444770813;-0,540000021457672;3,8525390625;
23;2,41862058639526;-0,529999971389771;4,015625;
24;2,44637227058411;-0,519999980926514;4,1787109375;
25;2,47418904304504;-0,509999990463257;4,3408203125;
26;2,50206160545349;-0,5;4,50390625;
27;2,52991437911987;-0,490000009536743;4,6669921875;
28;2,5579845905304;-0,479999989271164;4,830078125;
29;2,58604764938354;-0,469999998807907;4,9921875;
30;2,61404609680176;-0,46000000834465;5,1552734375;
31;2,64205360412598;-0,449999988079071;5,318359375;
32;2,66993498802185;-0,439999997615814;5,4814453125;
33;2,69771718978882;-0,430000007152557;5,64453125;
34;2,72568392753601;-0,419999986886978;5,806640625;
35;2,75351691246033;-0,409999996423721;5,9697265625;
36;2,78135585784912;-0,400000005960464;6,1328125;
37;2,80911374092102;-0,389999985694885;6,2958984375;
38;2,83684682846069;-0,379999995231628;6,4580078125;
39;2,86460375785828;-0,370000004768372;6,62109375;
40;2,89228272438049;-0,360000014305115;6,7841796875;
41;2,92003703117371;-0,349999994039536;6,947265625;
42;2,94774627685547;-0,340000003576279;7,109375;
43;2,97541618347168;-0,330000013113022;7,2724609375;
44;3,00331521034241;-0,319999992847443;7,435546875;
45;3,03118395805359;-0,310000002384186;7,5986328125;
46;3,05890417098999;-0,300000011920929;7,7607421875;
47;3,08670735359192;-0,28999999165535;7,923828125;
48;3,11441850662231;-0,280000001192093;8,0869140625;
49;3,14210224151611;-0,270000010728836;8,25;
50;3,16969394683838;-0,259999990463257;8,4130859375;
51;3,1972541809082;-0,25;8,5751953125;
52;3,22496867179871;-0,239999994635582;8,73828125;
53;3,25278425216675;-0,230000004172325;8,9013671875;
54;3,28058958053589;-0,219999998807907;9,064453125;
55;3,30853939056396;-0,209999993443489;9,2265625;
56;3,33645462989807;-0,200000002980232;9,3896484375;
57;3,36440014839172;-0,189999997615814;9,552734375;
58;3,39244818687439;-0,180000007152557;9,7158203125;
59;3,42044687271118;-0,170000001788139;9,87890625;
60;3,44856548309326;-0,159999996423721;10,041015625;
61;3,47666573524475;-0,150000005960464;10,2041015625;
62;3,50472140312195;-0,140000000596046;10,3671875;
63;3,53280305862427;-0,129999995231628;10,5302734375;
64;3,56091451644897;-0,119999997317791;10,6923828125;
65;3,58893918991089;-0,109999999403954;10,85546875;
66;3,61702418327332;-0,100000001490116;11,0185546875;
67;3,64507794380188;-0,0900000035762787;11,181640625;
