Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;1.72150945663452;-0.74972927570343;-2.29617476463318;0.2890625;
2;1.75256133079529;-0.73971551656723;-2.36923694610596;0.47265625;
3;1.78315901756287;-0.729710876941681;-2.4436514377594;0.6572265625;
4;1.81834614276886;-0.719696521759033;-2.52654576301575;0.8408203125;
5;1.84634292125702;-0.709697127342224;-2.60159277915955;1.0244140625;
6;1.8763712644577;-0.699678063392639;-2.68176364898682;1.208984375;
7;1.90945482254028;-0.689657330513;-2.76870083808899;1.392578125;
8;1.93958413600922;-0.679660856723785;-2.85375285148621;1.5771484375;
9;1.9696558713913;-0.669663846492767;-2.94126057624817;1.7607421875;
10;1.99899733066559;-0.659670293331146;-3.03029751777649;1.9443359375;
11;2.03084635734558;-0.649698913097382;-3.12582683563232;2.12890625;
12;2.06054019927979;-0.639711439609528;-3.22104644775391;2.3125;
13;2.09053707122803;-0.629722833633423;-3.31977343559265;2.49609375;
14;2.1215193271637;-0.619650304317474;-3.42373633384705;2.8662109375;
15;2.15057229995728;-0.609650790691376;-3.52754783630371;3.0498046875;
16;2.18180418014526;-0.599655866622925;-3.63842725753784;3.2333984375;
17;2.21169066429138;-0.589632630348206;-3.75096392631531;3.41796875;
18;2.2429940700531;-0.579612493515015;-3.86981654167175;3.6015625;
19;2.27382946014404;-0.569614171981812;-3.99187660217285;3.78515625;
20;2.30421018600464;-0.559596538543701;-4.11762762069702;3.9697265625;
21;2.33489274978638;-0.54957789182663;-4.2485203742981;4.1533203125;
22;2.36477398872375;-0.539577722549438;-4.38263845443726;4.3369140625;
23;2.39479351043701;-0.529584407806396;-4.52202415466309;4.521484375;
24;2.42464089393616;-0.519608616828918;-4.66628313064575;4.705078125;
25;2.45347046852112;-0.509612858295441;-4.81438112258911;4.888671875;
26;2.4833562374115;-0.499622493982315;-4.97046518325806;5.0732421875;
27;2.51321005821228;-0.489647686481476;-5.1326904296875;5.2568359375;
28;2.54226613044739;-0.47965481877327;-5.30019950866699;5.4404296875;
29;2.57115697860718;-0.469652950763702;-5.47458934783936;5.625;
30;2.60010457038879;-0.459647089242935;-5.65674114227295;5.80859375;
31;2.62907290458679;-0.449623912572861;-5.84727096557617;5.9921875;
32;2.65857458114624;-0.43962436914444;-6.04737758636475;6.1767578125;
33;2.68872308731079;-0.42960911989212;-6.2585334777832;6.3603515625;
34;2.71748757362366;-0.419589012861252;-6.47654628753662;6.5439453125;
35;2.74550700187683;-0.40958759188652;-6.70310115814209;6.728515625;
36;2.77344131469727;-0.399574458599091;-6.9409875869751;6.912109375;
37;2.80182003974915;-0.389580965042114;-7.19188117980957;7.0966796875;
38;2.83023524284363;-0.379607975482941;-7.45567893981934;7.2802734375;
39;2.85910439491272;-0.369613856077194;-7.73538208007813;7.4638671875;
40;2.88772392272949;-0.359638929367065;-8.02950859069824;7.6484375;
41;2.91624593734741;-0.349644839763641;-8.34059524536133;7.83203125;
42;2.94440484046936;-0.339655369520187;-8.66880130767822;8.015625;
43;2.97255945205688;-0.329672187566757;-9.01671314239502;8.2001953125;
44;3.00091791152954;-0.319653272628784;-9.38804054260254;8.3837890625;
45;3.02927207946777;-0.309628188610077;-9.78357982635498;8.568359375;
46;3.05749344825745;-0.29962819814682;-10.204291343689;8.751953125;
47;3.08574175834656;-0.289616227149963;-10.6545886993408;8.935546875;
48;3.11390662193298;-0.279605656862259;-11.1367797851563;9.1201171875;
49;3.14210224151611;-0.269586384296417;-11.6552705764771;9.3037109375;
50;3.1702094078064;-0.259574681520462;-12.2130918502808;9.48828125;
